_ano_pasta,_doc_path,_filename,carga_horaria,categoria,hospital,oss_gestora,quantidade,tipo_documento
2022,C:\OSS-Goias\documentos\Instituto Patris\HEL\2022\05_Contrato_Gestao_Aditivos\id3888_1.16.1 Primeiro Termo Aditivo ao Contrato de Gestão nº 45_2022-SES_GO.pdf,id3888_1.16.1 Primeiro Termo Aditivo ao Contrato de Gestão nº 45_2022-SES_GO,,Responsável Técnico - área de enfermagem,HEL,Instituto Patris,1,termo_aditivo
2022,C:\OSS-Goias\documentos\Instituto Patris\HEL\2022\05_Contrato_Gestao_Aditivos\id3888_1.16.1 Primeiro Termo Aditivo ao Contrato de Gestão nº 45_2022-SES_GO.pdf,id3888_1.16.1 Primeiro Termo Aditivo ao Contrato de Gestão nº 45_2022-SES_GO,diurno,Médico hospitalista (diarista),HEL,Instituto Patris,0,termo_aditivo
2022,C:\OSS-Goias\documentos\Instituto Patris\HEL\2022\05_Contrato_Gestao_Aditivos\id3888_1.16.1 Primeiro Termo Aditivo ao Contrato de Gestão nº 45_2022-SES_GO.pdf,id3888_1.16.1 Primeiro Termo Aditivo ao Contrato de Gestão nº 45_2022-SES_GO,"24h/dia, 7 dias/semana",Farmacêutico,HEL,Instituto Patris,0,termo_aditivo
2022,C:\OSS-Goias\documentos\Instituto Patris\HEL\2022\05_Contrato_Gestao_Aditivos\id3888_1.16.1 Primeiro Termo Aditivo ao Contrato de Gestão nº 45_2022-SES_GO.pdf,id3888_1.16.1 Primeiro Termo Aditivo ao Contrato de Gestão nº 45_2022-SES_GO,,Assistente Social,HEL,Instituto Patris,0,termo_aditivo
2022,C:\OSS-Goias\documentos\Instituto Patris\HEL\2022\05_Contrato_Gestao_Aditivos\id3888_1.16.1 Primeiro Termo Aditivo ao Contrato de Gestão nº 45_2022-SES_GO.pdf,id3888_1.16.1 Primeiro Termo Aditivo ao Contrato de Gestão nº 45_2022-SES_GO,,Fisioterapeuta,HEL,Instituto Patris,0,termo_aditivo
2022,C:\OSS-Goias\documentos\Instituto Patris\HEL\2022\05_Contrato_Gestao_Aditivos\id3888_1.16.1 Primeiro Termo Aditivo ao Contrato de Gestão nº 45_2022-SES_GO.pdf,id3888_1.16.1 Primeiro Termo Aditivo ao Contrato de Gestão nº 45_2022-SES_GO,,Fonoaudiólogo,HEL,Instituto Patris,0,termo_aditivo
2022,C:\OSS-Goias\documentos\Instituto Patris\HEL\2022\05_Contrato_Gestao_Aditivos\id3888_1.16.1 Primeiro Termo Aditivo ao Contrato de Gestão nº 45_2022-SES_GO.pdf,id3888_1.16.1 Primeiro Termo Aditivo ao Contrato de Gestão nº 45_2022-SES_GO,,Nutricionista,HEL,Instituto Patris,0,termo_aditivo
2022,C:\OSS-Goias\documentos\Instituto Patris\HEL\2022\05_Contrato_Gestao_Aditivos\id3888_1.16.1 Primeiro Termo Aditivo ao Contrato de Gestão nº 45_2022-SES_GO.pdf,id3888_1.16.1 Primeiro Termo Aditivo ao Contrato de Gestão nº 45_2022-SES_GO,,Psicólogo,HEL,Instituto Patris,0,termo_aditivo
2022,C:\OSS-Goias\documentos\Instituto Patris\HEL\2022\05_Contrato_Gestao_Aditivos\id3888_1.16.1 Primeiro Termo Aditivo ao Contrato de Gestão nº 45_2022-SES_GO.pdf,id3888_1.16.1 Primeiro Termo Aditivo ao Contrato de Gestão nº 45_2022-SES_GO,,Terapeuta Ocupacional,HEL,Instituto Patris,0,termo_aditivo
2023,C:\OSS-Goias\documentos\IDTech\HGG\2023\05_Contrato_Gestao_Aditivos\16. Compêtencias previstas no Contrato de Gestão - 16º Termo Aditivo.pdf,16. Compêtencias previstas no Contrato de Gestão - 16º Termo Aditivo,período diurno,Equipe médica de assistência horizontal (médico hospitalista/diarista) por especialidade médica,HGG,IDTECH,0,termo_aditivo
2023,C:\OSS-Goias\documentos\IDTech\HGG\2023\05_Contrato_Gestao_Aditivos\16. Compêtencias previstas no Contrato de Gestão - 16º Termo Aditivo.pdf,16. Compêtencias previstas no Contrato de Gestão - 16º Termo Aditivo,,Responsável Técnico médico da UCT (Unidade de Coleta e Transfusão),HGG,IDTECH,1,termo_aditivo
2023,C:\OSS-Goias\documentos\IDTech\HGG\2023\05_Contrato_Gestao_Aditivos\16. Compêtencias previstas no Contrato de Gestão - 16º Termo Aditivo.pdf,16. Compêtencias previstas no Contrato de Gestão - 16º Termo Aditivo,,Quadro de pessoal técnico habilitado e capacitado para a UCT,HGG,IDTECH,0,termo_aditivo
2023,C:\OSS-Goias\documentos\ISG\HDT\2023\05_Contrato_Gestao_Aditivos\16o-Termo-Aditivo-2023-ao-CG-n.o-091-2012-–-SES.GO_-2.pdf,16o-Termo-Aditivo-2023-ao-CG-n.o-091-2012-–-SES.GO_-2,,Analista de Gestão Governamental,HDT,ISG,2,termo_aditivo
2023,C:\OSS-Goias\documentos\ISG\HDT\2023\05_Contrato_Gestao_Aditivos\16o-Termo-Aditivo-2023-ao-CG-n.o-091-2012-–-SES.GO_-2.pdf,16o-Termo-Aditivo-2023-ao-CG-n.o-091-2012-–-SES.GO_-2,,Assistente Social,HDT,ISG,3,termo_aditivo
2023,C:\OSS-Goias\documentos\ISG\HDT\2023\05_Contrato_Gestao_Aditivos\16o-Termo-Aditivo-2023-ao-CG-n.o-091-2012-–-SES.GO_-2.pdf,16o-Termo-Aditivo-2023-ao-CG-n.o-091-2012-–-SES.GO_-2,,Assistente Técnico de Saúde,HDT,ISG,13,termo_aditivo
2023,C:\OSS-Goias\documentos\ISG\HDT\2023\05_Contrato_Gestao_Aditivos\16o-Termo-Aditivo-2023-ao-CG-n.o-091-2012-–-SES.GO_-2.pdf,16o-Termo-Aditivo-2023-ao-CG-n.o-091-2012-–-SES.GO_-2,,Auxiliar de Enfermagem,HDT,ISG,7,termo_aditivo
2023,C:\OSS-Goias\documentos\ISG\HDT\2023\05_Contrato_Gestao_Aditivos\16o-Termo-Aditivo-2023-ao-CG-n.o-091-2012-–-SES.GO_-2.pdf,16o-Termo-Aditivo-2023-ao-CG-n.o-091-2012-–-SES.GO_-2,,Auxiliar de Laboratório,HDT,ISG,1,termo_aditivo
2023,C:\OSS-Goias\documentos\ISG\HDT\2023\05_Contrato_Gestao_Aditivos\16o-Termo-Aditivo-2023-ao-CG-n.o-091-2012-–-SES.GO_-2.pdf,16o-Termo-Aditivo-2023-ao-CG-n.o-091-2012-–-SES.GO_-2,,Auxiliar de Radiologia,HDT,ISG,1,termo_aditivo
2023,C:\OSS-Goias\documentos\ISG\HDT\2023\05_Contrato_Gestao_Aditivos\16o-Termo-Aditivo-2023-ao-CG-n.o-091-2012-–-SES.GO_-2.pdf,16o-Termo-Aditivo-2023-ao-CG-n.o-091-2012-–-SES.GO_-2,,Auxiliar de Serviços Gerais,HDT,ISG,8,termo_aditivo
2023,C:\OSS-Goias\documentos\ISG\HDT\2023\05_Contrato_Gestao_Aditivos\16o-Termo-Aditivo-2023-ao-CG-n.o-091-2012-–-SES.GO_-2.pdf,16o-Termo-Aditivo-2023-ao-CG-n.o-091-2012-–-SES.GO_-2,,Auxiliar Técnico de Saúde,HDT,ISG,3,termo_aditivo
2023,C:\OSS-Goias\documentos\ISG\HDT\2023\05_Contrato_Gestao_Aditivos\16o-Termo-Aditivo-2023-ao-CG-n.o-091-2012-–-SES.GO_-2.pdf,16o-Termo-Aditivo-2023-ao-CG-n.o-091-2012-–-SES.GO_-2,,Enfermeiro,HDT,ISG,8,termo_aditivo
2023,C:\OSS-Goias\documentos\ISG\HDT\2023\05_Contrato_Gestao_Aditivos\16o-Termo-Aditivo-2023-ao-CG-n.o-091-2012-–-SES.GO_-2.pdf,16o-Termo-Aditivo-2023-ao-CG-n.o-091-2012-–-SES.GO_-2,,Farmacêutico,HDT,ISG,2,termo_aditivo
2023,C:\OSS-Goias\documentos\ISG\HDT\2023\05_Contrato_Gestao_Aditivos\16o-Termo-Aditivo-2023-ao-CG-n.o-091-2012-–-SES.GO_-2.pdf,16o-Termo-Aditivo-2023-ao-CG-n.o-091-2012-–-SES.GO_-2,,Fisioterapeuta,HDT,ISG,1,termo_aditivo
2023,C:\OSS-Goias\documentos\ISG\HDT\2023\05_Contrato_Gestao_Aditivos\16o-Termo-Aditivo-2023-ao-CG-n.o-091-2012-–-SES.GO_-2.pdf,16o-Termo-Aditivo-2023-ao-CG-n.o-091-2012-–-SES.GO_-2,,Médico,HDT,ISG,35,termo_aditivo
2023,C:\OSS-Goias\documentos\ISG\HDT\2023\05_Contrato_Gestao_Aditivos\16o-Termo-Aditivo-2023-ao-CG-n.o-091-2012-–-SES.GO_-2.pdf,16o-Termo-Aditivo-2023-ao-CG-n.o-091-2012-–-SES.GO_-2,,Nutricionista,HDT,ISG,1,termo_aditivo
2023,C:\OSS-Goias\documentos\ISG\HDT\2023\05_Contrato_Gestao_Aditivos\16o-Termo-Aditivo-2023-ao-CG-n.o-091-2012-–-SES.GO_-2.pdf,16o-Termo-Aditivo-2023-ao-CG-n.o-091-2012-–-SES.GO_-2,,Técnico em Enfermagem,HDT,ISG,49,termo_aditivo
2023,C:\OSS-Goias\documentos\ISG\HDT\2023\05_Contrato_Gestao_Aditivos\16o-Termo-Aditivo-2023-ao-CG-n.o-091-2012-–-SES.GO_-2.pdf,16o-Termo-Aditivo-2023-ao-CG-n.o-091-2012-–-SES.GO_-2,,Técnico em Gestão Pública,HDT,ISG,1,termo_aditivo
2023,C:\OSS-Goias\documentos\ISG\HDT\2023\05_Contrato_Gestao_Aditivos\16o-Termo-Aditivo-2023-ao-CG-n.o-091-2012-–-SES.GO_-2.pdf,16o-Termo-Aditivo-2023-ao-CG-n.o-091-2012-–-SES.GO_-2,,Técnico em Laboratório,HDT,ISG,2,termo_aditivo
2023,C:\OSS-Goias\documentos\ISG\HDT\2023\05_Contrato_Gestao_Aditivos\16o-Termo-Aditivo-2023-ao-CG-n.o-091-2012-–-SES.GO_-2.pdf,16o-Termo-Aditivo-2023-ao-CG-n.o-091-2012-–-SES.GO_-2,,Técnico em Radiologia,HDT,ISG,3,termo_aditivo
2023,C:\OSS-Goias\documentos\ISG\HDT\2023\05_Contrato_Gestao_Aditivos\16o-Termo-Aditivo-2023-ao-CG-n.o-091-2012-–-SES.GO_-2.pdf,16o-Termo-Aditivo-2023-ao-CG-n.o-091-2012-–-SES.GO_-2,,Terapeuta Ocupacional,HDT,ISG,1,termo_aditivo
2023,C:\OSS-Goias\documentos\FUNEV\HEANA\2023\05_Contrato_Gestao_Aditivos\1700488721202-Competencias 1° termo aditivo.pdf,1700488721202-Competencias 1° termo aditivo,período diurno,Equipe médica de assistência horizontal (médico hospitalista por especialidade),HEANA,FUNEV,0,termo_aditivo
2023,C:\OSS-Goias\documentos\FUNEV\HEANA\2023\05_Contrato_Gestao_Aditivos\1700488721202-Competencias 1° termo aditivo.pdf,1700488721202-Competencias 1° termo aditivo,,Profissionais técnicos e administrativos (regime CLT),HEANA,FUNEV,0,termo_aditivo
2023,C:\OSS-Goias\documentos\FUNEV\HEANA\2023\05_Contrato_Gestao_Aditivos\1772651247549-4_Termo_Aditivo_ao_Contrato_de_Gestão_nº_662019.pdf,1772651247549-4_Termo_Aditivo_ao_Contrato_de_Gestão_nº_662019,,Cirurgião-Dentista (servidor cedido),HEANA,FUNEV,1,termo_aditivo
2023,C:\OSS-Goias\documentos\FUNEV\HEANA\2023\05_Contrato_Gestao_Aditivos\1772651247549-4_Termo_Aditivo_ao_Contrato_de_Gestão_nº_662019.pdf,1772651247549-4_Termo_Aditivo_ao_Contrato_de_Gestão_nº_662019,,Técnico em Enfermagem (servidor cedido),HEANA,FUNEV,1,termo_aditivo
2023,C:\OSS-Goias\documentos\IMED\HETRIN\2023\05_Contrato_Gestao_Aditivos\4o-TA-Hetrin_037-2019.pdf,4o-TA-Hetrin_037-2019,,Técnico em Enfermagem (servidores cedidos),HETRIN,IMED,2,termo_aditivo
2023,C:\OSS-Goias\documentos\IMED\HETRIN\2023\05_Contrato_Gestao_Aditivos\4o-TA-Hetrin_037-2019.pdf,4o-TA-Hetrin_037-2019,,Responsável Técnico médico,HETRIN,IMED,1,termo_aditivo
2023,C:\OSS-Goias\documentos\IMED\HETRIN\2023\05_Contrato_Gestao_Aditivos\4o-TA-Hetrin_037-2019.pdf,4o-TA-Hetrin_037-2019,,Responsável Técnico enfermagem,HETRIN,IMED,1,termo_aditivo
2023,C:\OSS-Goias\documentos\FUNEV\HEANA\2023\05_Contrato_Gestao_Aditivos\Competencias Contrato de gestão.pdf,Competencias Contrato de gestão,período diurno,Equipe médica de assistência horizontal (médico hospitalista por especialidade),HEANA,FUNEV,0,outro
2023,C:\OSS-Goias\documentos\FUNEV\HEANA\2023\05_Contrato_Gestao_Aditivos\Competencias Contrato de gestão.pdf,Competencias Contrato de gestão,,Profissionais técnicos e administrativos (regime CLT),HEANA,FUNEV,0,outro
2023,C:\OSS-Goias\documentos\AGIR\HUGOL\2023\05_Contrato_Gestao_Aditivos\Competências previstas no Contrato de Gestão HUGOL.pdf,Competências previstas no Contrato de Gestão HUGOL,24h ininterruptas,Quadro de recursos humanos qualificados compatíveis com o porte da Unidade,HUGOL,AGIR,0,outro
2023,C:\OSS-Goias\documentos\AGIR\HUGOL\2023\05_Contrato_Gestao_Aditivos\Competências previstas no Contrato de Gestão HUGOL_10º Aditivo.pdf,Competências previstas no Contrato de Gestão HUGOL_10º Aditivo,período diurno,Equipe médica de assistência horizontal (médico hospitalista/diarista),HUGOL,AGIR,0,outro
2023,C:\OSS-Goias\documentos\AGIR\HUGOL\2023\05_Contrato_Gestao_Aditivos\Competências previstas no Contrato de Gestão HUGOL_10º Aditivo.pdf,Competências previstas no Contrato de Gestão HUGOL_10º Aditivo,,Responsável Técnico médico da UCT,HUGOL,AGIR,0,outro
2023,C:\OSS-Goias\documentos\AGIR\HUGOL\2023\05_Contrato_Gestao_Aditivos\Competências previstas no Contrato de Gestão HUGOL_10º Aditivo.pdf,Competências previstas no Contrato de Gestão HUGOL_10º Aditivo,,Responsável técnico médico dos serviços de imagem,HUGOL,AGIR,0,outro
2023,C:\OSS-Goias\documentos\AGIR\HUGOL\2023\05_Contrato_Gestao_Aditivos\Competências previstas no Contrato de Gestão HUGOL_10º Aditivo.pdf,Competências previstas no Contrato de Gestão HUGOL_10º Aditivo,,Profissionais técnicos e administrativos (CLT),HUGOL,AGIR,0,outro
2023,C:\OSS-Goias\documentos\IGH\HEAPA\2023\05_Contrato_Gestao_Aditivos\Contrato 002 - 1° Aditivo.pdf,Contrato 002 - 1° Aditivo,24h ininterruptas,Quadro de recursos humanos qualificados e compatíveis com o porte da Unidade,HUAPA,IGH,0,termo_aditivo
2023,C:\OSS-Goias\documentos\IGH\HEAPA\2023\05_Contrato_Gestao_Aditivos\Contrato 002 - 2° Aditivo.pdf,Contrato 002 - 2° Aditivo,24h ininterruptas,Quadro de recursos humanos qualificados e compatíveis com o porte da Unidade,HUAPA,IGH,0,termo_aditivo
2023,C:\OSS-Goias\documentos\IGH\HEAPA\2023\05_Contrato_Gestao_Aditivos\Contrato 002.pdf,Contrato 002,ininterrupto 24h,Quadro de recursos humanos qualificados e compatíveis com o porte da Unidade,HUAPA,IGH,0,contrato_gestao_inicial
2023,C:\OSS-Goias\documentos\IGH\HEAPA\2023\05_Contrato_Gestao_Aditivos\Contrato 096 - 2° Aditivo.pdf,Contrato 096 - 2° Aditivo,período diurno,Médico hospitalista (diarista),HUAPA,IGH,0,termo_aditivo
2023,C:\OSS-Goias\documentos\IGH\HEAPA\2023\05_Contrato_Gestao_Aditivos\Contrato 096 - 3° Aditivo.pdf,Contrato 096 - 3° Aditivo,período diurno,Médico Hospitalista (diarista),HUAPA,IGH,0,termo_aditivo
2023,C:\OSS-Goias\documentos\IGH\HEAPA\2023\05_Contrato_Gestao_Aditivos\Contrato 096 - 3° Aditivo.pdf,Contrato 096 - 3° Aditivo,,Médico Plantonista,HUAPA,IGH,0,termo_aditivo
2023,C:\OSS-Goias\documentos\IGH\HEAPA\2023\05_Contrato_Gestao_Aditivos\Contrato 096 - 3° Aditivo.pdf,Contrato 096 - 3° Aditivo,"24 horas/dia, 7 dias por semana",Plantão Controlador Interno (coordenado por médico),HUAPA,IGH,0,termo_aditivo
2023,C:\OSS-Goias\documentos\IGH\HEAPA\2023\05_Contrato_Gestao_Aditivos\Contrato 096 - 5° Aditivo.pdf,Contrato 096 - 5° Aditivo,,Responsável técnico médico (coordenação do serviço de imagem),HUAPA,IGH,1,termo_aditivo
2023,C:\OSS-Goias\documentos\IGH\HEAPA\2023\05_Contrato_Gestao_Aditivos\Contrato 096 - 5° Aditivo.pdf,Contrato 096 - 5° Aditivo,diurno,Médico hospitalista (assistência horizontal diurna),HUAPA,IGH,0,termo_aditivo
2023,C:\OSS-Goias\documentos\IGH\HEAPA\2023\05_Contrato_Gestao_Aditivos\Contrato 096 - 5° Aditivo.pdf,Contrato 096 - 5° Aditivo,"24h/dia, 7 dias/semana",Plantão Controlador Interno (coordenado por médico),HUAPA,IGH,0,termo_aditivo
2023,C:\OSS-Goias\documentos\IGH\HEAPA\2023\05_Contrato_Gestao_Aditivos\Contrato 096 - 6° Aditivo.pdf,Contrato 096 - 6° Aditivo,período diurno,Médico Hospitalista (diarista),HUAPA,IGH,0,termo_aditivo
2023,C:\OSS-Goias\documentos\IGH\HEAPA\2023\05_Contrato_Gestao_Aditivos\Contrato 096 - 6° Aditivo.pdf,Contrato 096 - 6° Aditivo,,Responsável Técnico médico para serviços de imagem,HUAPA,IGH,1,termo_aditivo
2023,C:\OSS-Goias\documentos\IGH\HEAPA\2023\05_Contrato_Gestao_Aditivos\Contrato 096 - 6° Aditivo.pdf,Contrato 096 - 6° Aditivo,,Profissional de nível superior responsável pelo gerenciamento de equipamentos de saúde e infraestrutura,HUAPA,IGH,1,termo_aditivo
2023,C:\OSS-Goias\documentos\IGH\HEAPA\2023\05_Contrato_Gestao_Aditivos\Contrato 096 - 6° Aditivo.pdf,Contrato 096 - 6° Aditivo,"24 horas/dia, 7 dias por semana",Médico coordenador do Plantão Controlador Interno,HUAPA,IGH,1,termo_aditivo
2023,C:\OSS-Goias\documentos\IGH\HEAPA\2023\05_Contrato_Gestao_Aditivos\Contrato 096 - 9° Aditivo.pdf,Contrato 096 - 9° Aditivo,período diurno,Médico hospitalista (diarista),HEAPA,IGH,0,termo_aditivo
2023,C:\OSS-Goias\documentos\IGH\HEAPA\2023\05_Contrato_Gestao_Aditivos\Contrato 096 - 9° Aditivo.pdf,Contrato 096 - 9° Aditivo,,Responsável Técnico médico da Agência Transfusional,HEAPA,IGH,0,termo_aditivo
2023,C:\OSS-Goias\documentos\FUNEV\HEANA\2023\05_Contrato_Gestao_Aditivos\f30f01e6-2b47-401f-92ed-40a280a1175f.pdf,f30f01e6-2b47-401f-92ed-40a280a1175f,período diurno,Equipe médica de assistência horizontal (médico hospitalista por especialidade médica),HEANA,FUNEV,0,outro
2024,C:\OSS-Goias\documentos\AGIR\HUGOL\2024\05_Contrato_Gestao_Aditivos\11° Aditivo ao Contrato de Gestão 003-14 HUGOL_2024.pdf,11° Aditivo ao Contrato de Gestão 003-14 HUGOL_2024,,Responsável Técnico médico,HUGOL,AGIR,1,termo_aditivo
2024,C:\OSS-Goias\documentos\AGIR\HUGOL\2024\05_Contrato_Gestao_Aditivos\11° Aditivo ao Contrato de Gestão 003-14 HUGOL_2024.pdf,11° Aditivo ao Contrato de Gestão 003-14 HUGOL_2024,,Responsável Técnico de enfermagem,HUGOL,AGIR,1,termo_aditivo
2024,C:\OSS-Goias\documentos\AGIR\HUGOL\2024\05_Contrato_Gestao_Aditivos\11° Aditivo ao Contrato de Gestão 003-14 HUGOL_2024.pdf,11° Aditivo ao Contrato de Gestão 003-14 HUGOL_2024,,Equipe médica e multiprofissional em quantitativo suficiente para atendimento dos serviços,HUGOL,AGIR,0,termo_aditivo
2024,C:\OSS-Goias\documentos\AGIR\HUGOL\2024\05_Contrato_Gestao_Aditivos\11° Aditivo ao Contrato de Gestão 003-14 HUGOL_2024.pdf,11° Aditivo ao Contrato de Gestão 003-14 HUGOL_2024,diurno,Médico hospitalista (diarista) - cobertura horizontal período diurno,HUGOL,AGIR,0,termo_aditivo
2024,C:\OSS-Goias\documentos\AGIR\HUGOL\2024\05_Contrato_Gestao_Aditivos\11° Aditivo ao Contrato de Gestão 003-14 HUGOL_2024.pdf,11° Aditivo ao Contrato de Gestão 003-14 HUGOL_2024,24h/7 dias,Núcleo Interno de Regulação (NIR),HUGOL,AGIR,0,termo_aditivo
2024,C:\OSS-Goias\documentos\AGIR\HUGOL\2024\05_Contrato_Gestao_Aditivos\11° Aditivo ao Contrato de Gestão 003-14 HUGOL_2024.pdf,11° Aditivo ao Contrato de Gestão 003-14 HUGOL_2024,"7 dias/semana, matutino e vespertino",Núcleo Hospitalar de Epidemiologia (NHE) - unidades com mais de 250 leitos: 2 profissionais nível superior + 3 técnicos de enfermagem + 1 técnico administrativo,HUGOL,AGIR,0,termo_aditivo
2024,C:\OSS-Goias\documentos\AGIR\HUGOL\2024\05_Contrato_Gestao_Aditivos\11° Aditivo ao Contrato de Gestão 003-14 HUGOL_2024.pdf,11° Aditivo ao Contrato de Gestão 003-14 HUGOL_2024,,Responsável Técnico médico UCT,HUGOL,AGIR,1,termo_aditivo
2024,C:\OSS-Goias\documentos\FUNEV\HEANA\2024\05_Contrato_Gestao_Aditivos\17157233426175º Aditivo Contrato de Gestão.pdf,17157233426175º Aditivo Contrato de Gestão,,Cirurgião Dentista (servidor cedido),HEANA,FUNEV,1,termo_aditivo
2024,C:\OSS-Goias\documentos\FUNEV\HEANA\2024\05_Contrato_Gestao_Aditivos\17157233426175º Aditivo Contrato de Gestão.pdf,17157233426175º Aditivo Contrato de Gestão,,Técnico em Enfermagem (servidor cedido),HEANA,FUNEV,4,termo_aditivo
2024,C:\OSS-Goias\documentos\FUNEV\HEANA\2024\05_Contrato_Gestao_Aditivos\17157233426175º Aditivo Contrato de Gestão.pdf,17157233426175º Aditivo Contrato de Gestão,,Responsável Técnico médico,HEANA,FUNEV,1,termo_aditivo
2024,C:\OSS-Goias\documentos\FUNEV\HEANA\2024\05_Contrato_Gestao_Aditivos\17157233426175º Aditivo Contrato de Gestão.pdf,17157233426175º Aditivo Contrato de Gestão,,Responsável Técnico de enfermagem,HEANA,FUNEV,1,termo_aditivo
2024,C:\OSS-Goias\documentos\FUNEV\HEANA\2024\05_Contrato_Gestao_Aditivos\17157233426175º Aditivo Contrato de Gestão.pdf,17157233426175º Aditivo Contrato de Gestão,,Coordenador COREME,HEANA,FUNEV,1,termo_aditivo
2024,C:\OSS-Goias\documentos\FUNEV\HEANA\2024\05_Contrato_Gestao_Aditivos\17157233426175º Aditivo Contrato de Gestão.pdf,17157233426175º Aditivo Contrato de Gestão,,Supervisor Residência Médica (Mar/2024-Fev/2025),HEANA,FUNEV,3,termo_aditivo
2024,C:\OSS-Goias\documentos\FUNEV\HEANA\2024\05_Contrato_Gestao_Aditivos\17157233426175º Aditivo Contrato de Gestão.pdf,17157233426175º Aditivo Contrato de Gestão,20h ou 40h semanais,Preceptor Residência Médica (Mar/2024-Fev/2025),HEANA,FUNEV,5,termo_aditivo
2024,C:\OSS-Goias\documentos\Albert Einstein\HUGO\2024\05_Contrato_Gestao_Aditivos\1o-Termo-Aditivo-ao-Termo-de-Colaboracao-no-097-2024-1.pdf,1o-Termo-Aditivo-ao-Termo-de-Colaboracao-no-097-2024-1,,Responsável Técnico - área médica,HUGO,Sociedade Beneficente Israelita Brasileira - Hospital Albert Einstein,1,termo_aditivo
2024,C:\OSS-Goias\documentos\Albert Einstein\HUGO\2024\05_Contrato_Gestao_Aditivos\1o-Termo-Aditivo-ao-Termo-de-Colaboracao-no-097-2024-1.pdf,1o-Termo-Aditivo-ao-Termo-de-Colaboracao-no-097-2024-1,,Responsável Técnico - área de enfermagem,HUGO,Sociedade Beneficente Israelita Brasileira - Hospital Albert Einstein,1,termo_aditivo
2024,C:\OSS-Goias\documentos\Albert Einstein\HUGO\2024\05_Contrato_Gestao_Aditivos\1o-Termo-Aditivo-ao-Termo-de-Colaboracao-no-097-2024-1.pdf,1o-Termo-Aditivo-ao-Termo-de-Colaboracao-no-097-2024-1,,Médicos (servidores cedidos),HUGO,Sociedade Beneficente Israelita Brasileira - Hospital Albert Einstein,80,termo_aditivo
2024,C:\OSS-Goias\documentos\Albert Einstein\HUGO\2024\05_Contrato_Gestao_Aditivos\1o-Termo-Aditivo-ao-Termo-de-Colaboracao-no-097-2024-1.pdf,1o-Termo-Aditivo-ao-Termo-de-Colaboracao-no-097-2024-1,,Técnico em Enfermagem (servidores cedidos),HUGO,Sociedade Beneficente Israelita Brasileira - Hospital Albert Einstein,70,termo_aditivo
