_ano_pasta,_doc_path,_filename,atendimentos.altas_hospitalares,atendimentos.atendimentos_emergencia,atendimentos.cirurgias_eletivas,atendimentos.cirurgias_total,atendimentos.cirurgias_urgencia,atendimentos.consultas_ambulatoriais,atendimentos.exames_total,atendimentos.internacoes,atendimentos.internacoes_uti,atendimentos.obitos,hospital,indicadores_qualidade_hospitalar.satisfacao_paciente,indicadores_qualidade_hospitalar.taxa_infeccao_hospitalar,indicadores_qualidade_hospitalar.taxa_mortalidade_geral,indicadores_qualidade_hospitalar.taxa_mortalidade_uti,indicadores_qualidade_hospitalar.taxa_reinternacao_30d,indicadores_sus.aih_processadas,indicadores_sus.atendimentos_sia_sus,indicadores_sus.procedimentos_sigtap,leitos.leitos_uti,leitos.media_permanencia_dias,leitos.taxa_ocupacao_perc,leitos.total_leitos,observacoes,oss_gestora,periodo.ano,periodo.mes,periodo.tipo_periodo,periodo.trimestre,producao_por_especialidade_count,producao_vs_meta_count
2023,C:\OSS-Goias\documentos\FUNEV\HEANA\2023\34_Relatorio_Producao\1. HEANA - Relatório Gerencial de Produção - Março2023.pdf,1. HEANA - Relatório Gerencial de Produção - Março2023,-1,2482,-1,115,-1,1170,37145,591,-1,43,HEANA,-1,-1,-1,-1,0.5,-1,-1,-1,51,7.0,94.0,-1,"Relatório referente ao 4º Termo Aditivo ao Contrato de Gestão nº 66/2019, Referência Ano 3 - Março/2023. UTI com 51 leitos críticos totais distribuídos em 6 unidades. Óbitos em UTI: 43 (total saídas por óbito); Transferências Externas UTI: 11. SADT Interno total: 37.145 procedimentos (incluindo Análises Clínicas: 32.036, Radiografia: 2.162, Tomografia: 1.712, Hemodiálise: 168 sessões, Eletrocardiograma: 482, entre outros). Núcleo Hospitalar de Epidemiologia: Representatividade 100%, Notificação Oportuna 100%, Sensibilidade NHE: Ativo e sensível, Completitude 100%, Investigação Oportuna 100%, Taxa de Óbitos por DAE: 4%. Atendimento domiciliar realizado: 479 contra meta de 120. Suspensão de cirurgias por condições operacionais atingiu 1,5%, acima da meta de 1%.",FUNEV,2023,3,mensal,,10,29
2023,C:\OSS-Goias\documentos\ISG\HDT\2023\34_Relatorio_Producao\10.2023-Relatorio-Gerencial-de-Producao.pdf,10.2023-Relatorio-Gerencial-de-Producao,245,-1,8,8,-1,2793,3234,245,-1,-1,HDT,-1,-1,-1,-1,2.71,-1,-1,-1,-1,8.9,86,-1,"O dado de rejeições no SIH (Percentual de ocorrência de rejeições no SIH) não estava disponível no período, sendo obtido em dois meses subsequentes. OSS gestora identificada como ISG conforme assinaturas (Assessora Técnica HDT/ISG e Diretora Técnica HDT/ISG). Hospital Dia registrou 363 atendimentos realizados vs 286 contratados (127%). Cirurgias eletivas de alto giro: 8 realizadas vs 10 contratadas (80%).",ISG,2023,10,mensal,,3,33
2023,C:\OSS-Goias\documentos\ISG\HDT\2023\34_Relatorio_Producao\11.2023-Relatorio-Gerencial-de-Producao.pdf,11.2023-Relatorio-Gerencial-de-Producao,246,-1,7,-1,-1,3963,2673,246,-1,-1,HDT,-1,-1,-1,-1,1.89,-1,-1,-1,-1,9.1,90,-1,"Relatório Gerencial de Produção do Hospital Estadual de Doenças Tropicais (HDT) - Dr. Anuar Auad, gerido pela OSS ISG. Competência: Novembro/2023. Percentual de ocorrência de rejeições no SIH: realizado marcado como asterisco (*) no documento, indicando dado não disponível. Taxa de readmissão em UTI (48 horas) realizado: 0,0%. Hospital Dia registrou 349 atendimentos contra meta de 286 (122%). Assinado por Nathalya Mosonowa Souza (Assessora Técnica) e Dra. Karine Borges de Medeiros (Diretora Técnica), ambas HDT/ISG.",ISG,2023,11,mensal,,3,31
2023,C:\OSS-Goias\documentos\ISG\HDT\2023\34_Relatorio_Producao\12.2023-Relatorio-Gerencial-de-Producao.pdf,12.2023-Relatorio-Gerencial-de-Producao,-1,-1,3,-1,-1,3764,2395,273,-1,-1,HDT,-1,-1,-1,-1,1.06,-1,-1,-1,-1,8.9,93,-1,"Hospital Estadual de Doenças Tropicais Dr. Anuar Auad (HDT), gerido pela OSS ISG. O dado de Percentual de ocorrência de rejeições no SIH não estava disponível pois é obtido em dois meses subsequentes. Taxa de readmissão em UTI realizada: 0,0%. Percentual de suspensão de cirurgias eletivas realizado: 0%. Percentual de cirurgias com TMAT expirado realizado: 0%.",ISG,2023,12,mensal,,3,33
2023,C:\OSS-Goias\documentos\FUNEV\HEANA\2023\34_Relatorio_Producao\1697051956163-HEANA - Relatório Gerencial de Produção - Setembro 2023.pdf,1697051956163-HEANA - Relatório Gerencial de Produção - Setembro 2023,-1,2033,-1,119,-1,2451,34304,605,-1,47,HEANA,-1,-1,-1,-1,2.4,-1,-1,-1,51,7,99,-1,"Relatório referente ao 4º Termo Aditivo ao Contrato de Gestão nº 66/2019, Referência Ano 4 - Setembro/2023. Leitos críticos UTI: 51 leitos no total, com 47 saídas (óbitos) e 06 transferências externas no mês. SADT Interno total: 34.304 procedimentos (Análises Clínicas 29.560, Radiografia 2.552, Tomografia 1.068, Eletrocardiograma 422, Hemoterapia 304, Hemodiálise 141, Anatomia Patológica 74, Ecocardiograma 60, Ecodoppler 37, Ultrassonografia 82, Ecodoppler Transcraniano 04). Atendimento domiciliar (SAD): 809 atendimentos realizados contra meta de 120. Taxa de Óbitos Decorrentes de DAE: 3%. Núcleo Hospitalar de Epidemiologia com representatividade, notificação oportuna e completitude de notificações em 100%. Diretor Executivo: João Pedro dos Santos Pereira/FUNEV.",FUNEV,2023,9,mensal,,9,33
2023,C:\OSS-Goias\documentos\FUNEV\HEANA\2023\34_Relatorio_Producao\1697477607975-HEANA - RELATÓRIOS GERENCIAIS DE PRODUÇÃO APROVADOS PELO CONSELHO DE ADMINISTRAÇÃO - 2020.pdf,1697477607975-HEANA - RELATÓRIOS GERENCIAIS DE PRODUÇÃO APROVADOS PELO CONSELHO DE ADMINISTRAÇÃO - 2020,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,HUANA,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"Relatório Gerencial de Produção do HUANA (Hospital Estadual de Urgências de Anápolis Dr. Henrique Santillo), aprovado pelo Conselho de Administração da FUNEV na 31ª Reunião Ordinária realizada em 28/04/2021, referente ao ano de 2020. A tabela apresenta dados mensais (JAN a DEZ) para cada linha de contratação, com coluna 'CONTRATADA' representando a meta. Os totais anuais realizados por linha foram somados a partir dos valores mensais: Internação (saídas) total=5249, Atendimento Urgência e Emergência total=19429, Clínica Médica=1503, Clínica Cirúrgica=3746, Consulta Médica=9780, Procedimentos cirúrgicos ambulatoriais=627, Cirurgias Eletivas=2757. SADT INTERNO inclui: Análises Clínicas, Anatomia Patológica, Agência Transfusional/Hematerapia. SADT inclui Ecocardiograma, Ecodoppller, Eletrocardiograma, Hemodiálise, Radiologia, Tomografia, Ultrassonografia com totais anuais variando conforme a tabela. O documento também contém ata da reunião do Conselho de Administração da FUNEV e certidão de registro.",FUNEV,2020,,anual,,14,8
2023,C:\OSS-Goias\documentos\FUNEV\HEANA\2023\34_Relatorio_Producao\1697478581936-Relatório Gerencial de Produção 2019 - Consolidado.pdf,1697478581936-Relatório Gerencial de Produção 2019 - Consolidado,392,1423,100,-1,-1,733,16606,392,-1,-1,HUANA,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"Relatório referente ao ano de 2019, aprovado pelo Conselho de Administração da FUNEV em junho de 2020. Os dados apresentados incluem período parcial de novembro (18 a 30/11/2019) e dezembro de 2019. SADT Interno DEZ/2019: Agência Transfusional/Hemoterapia=209, Análises Clínicas=13529, Anatomia Patológica=42, Ecocardiograma=24, Ecodoppler=18, Eletrocardiograma=122, Hemodiálise(sessões)=92, Radiologia=1672, Tomografia=858, Ultrassonografia=40, TOTAL=16606. O Ambulatório Universitário Central (AUC) realizou 6.640 atendimentos de especialidades e 375 retornos em 2019 (unidade própria da FUNEV, não HUANA).",FUNEV,2019,,anual,,2,5
2023,C:\OSS-Goias\documentos\FUNEV\HEANA\2023\34_Relatorio_Producao\1697725043971-CONSOLIDADO 2021.pdf,1697725043971-CONSOLIDADO 2021,-1,-1,516,516,-1,-1,-1,-1,-1,-1,HEANA,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"Relatorio de producao consolidado anual 2021 do HEANA - Hospital Estadual de Anapolis Dr. Henrique Santillo, gerido pela FUNEV. O documento apresenta producao assistencial mensal de janeiro a dezembro de 2021 com as seguintes categorias: Internacao (Saidas Hospitalares) com meta 975 e total anual 2.619; Atendimento de Urgencia e Emergencia com meta 2.100 e total 2.619 (dado de dez=2.619 acumulado); Clinica Medica meta 120; Clinica Cirurgica meta 855; Total cirurgias meta 975 realizado 516 em DEZ. Indicadores de desempenho incluem: Taxa de Ocupacao Hospitalar (meta >=85%), Media de Permanencia Hospitalar (meta <=5 dias), Indice de Substituicao de Intervalo (meta <=12), Taxa de Readmissao em UTI 48h (meta <=5%), Taxa de Readmissao Hospitalar 29 dias (meta <=20%), Percentual de Ocorrencias Glosas no SIH-DATASUS (meta <=1%), Percentual de Cirurgias Suspensas por condicoes operacionais (meta <=5%). Exames de apoio diagnostico com total anual de 30.352 procedimentos. Approved by Conselho de Administracao em reuniao de 10/05/2022.",FUNEV,2021,,anual,,21,3
2023,C:\OSS-Goias\documentos\FUNEV\HEANA\2023\34_Relatorio_Producao\1697725341069-Ata 36ª Reunião Ordinária CA.pdf,1697725341069-Ata 36ª Reunião Ordinária CA,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,HEANA,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"Documento trata-se da Ata da 36ª Reunião Ordinária do Conselho de Administração da FUNEV, realizada em 09/05/2023. Não contém dados quantitativos de produção hospitalar do HEANA. O relatório menciona apenas que foram apresentados relatórios gerenciais e de atividades desenvolvidas no gerenciamento do HEANA e HEELJ (unidades provenientes de contrato de gestão com Estado de Goiás), e que as contas e demonstrações contábeis foram aprovadas para o exercício de 2022. Contas consolidadas: Ativo R$ 30.342.744,03; Passivo + PL R$ 30.342.744,03; Ativo Compensado R$ 242.387.845,92; Passivo Compensado R$ 242.387.845,92; Superávit do Exercício R$ 201.105,36.",FUNEV,2022,,anual,,0,0
2023,C:\OSS-Goias\documentos\FUNEV\HEANA\2023\34_Relatorio_Producao\1697725397192-Ata 36ª Reunião Ordinária CA.pdf,1697725397192-Ata 36ª Reunião Ordinária CA,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,HEANA,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"Documento trata-se de Ata da 36ª Reunião Ordinária do Conselho de Administração da FUNEV, realizada em 09/05/2023. Menciona que foram apresentados relatórios gerenciais e de atividades desenvolvidas no gerenciamento do HEANA e HEELJ (unidades provenientes de contrato de gestão com o Estado de Goiás) referentes ao exercício de 2022, porém sem detalhar indicadores quantitativos de produção. As contas e demonstrações contábeis e financeiras do exercício de 2022 foram aprovadas. Contas consolidadas (todas as unidades): Ativo R$ 30.342.744,03; Passivo + PL R$ 30.342.744,03; Ativo Compensado R$ 242.387.845,92; Passivo Compensado R$ 242.387.845,92; Superávit do Exercício R$ 201.105,36. Não há tabela de produção hospitalar, metas ou indicadores de qualidade no documento.",FUNEV,2022,,anual,,0,0
2023,C:\OSS-Goias\documentos\FUNEV\HEANA\2023\34_Relatorio_Producao\1697725521140-Ata 36ª Reunião Ordinária CA.pdf,1697725521140-Ata 36ª Reunião Ordinária CA,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,HEANA,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"Documento trata-se da Ata da 36ª Reunião Ordinária do Conselho de Administração da FUNEV, realizada em 09/05/2023. Menciona que foram apresentados relatórios gerenciais e de atividades desenvolvidas no gerenciamento do HEANA e HEELJ referentes ao exercício de 2022, porém sem detalhar indicadores de produção ou qualidade. Contas consolidadas do exercício 2022: Ativo R$ 30.342.744,03; Passivo + PL R$ 30.342.744,03; Ativo Compensado R$ 242.387.845,92; Passivo Compensado R$ 242.387.845,92; Superávit do Exercício R$ 201.105,36. O conselho deliberou pela aprovação das contas e relatórios do HEANA e HEELJ sem ressalva.",FUNEV,2022,,anual,,0,0
2023,C:\OSS-Goias\documentos\FUNEV\HEANA\2023\34_Relatorio_Producao\1697725963939-ATA EXTRAORDINÁRIA MAIO 2022.pdf,1697725963939-ATA EXTRAORDINÁRIA MAIO 2022,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,HEANA,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"Este documento é uma Ata de Reunião Extraordinária do Conselho de Administração da FUNEV, datada de 10/05/2022, registrada em cartório em 02/06/2022. Não contém dados de produção hospitalar quantitativos. O documento trata de: eleição de membros do Conselho Fiscal, ratificação da composição dos órgãos diretivos, aprovação das contas e demonstrações contábeis de 2021 (Ativo R$28.851.662,89; Passivo+PL R$28.851.662,89; Ativo Compensado R$200.567.996,46; Passivo Compensado R$200.567.996,46; Superávit R$315.214,27), e aprovação dos relatórios gerenciais do HEANA, HEELJ e UPA Perfil Pediátrico. Nenhum indicador de produção hospitalar está reportado neste documento.",FUNEV,2022,5,mensal,,0,0
2023,C:\OSS-Goias\documentos\FUNEV\HEANA\2023\34_Relatorio_Producao\1697726067704-ATA EXTRAORDINÁRIA MAIO 2022.pdf,1697726067704-ATA EXTRAORDINÁRIA MAIO 2022,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,HEANA,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"O documento é uma Ata da Reunião Extraordinária do Conselho de Administração da FUNEV, realizada em 10/05/2022, registrada em 02/06/2022. Não contém dados de produção hospitalar quantitativos. O documento trata de eleição de membros do Conselho Fiscal, ratificação de composição de órgãos diretivos, aprovação de contas e demonstrações contábeis do exercício de 2021 (Ativo R$ 28.851.662,89; Passivo+PL R$ 28.851.662,89; Ativo Compensado R$ 200.567.996,46; Passivo Compensado R$ 200.567.996,46; Superávit do Exercício R$ 315.214,27), bem como aprovação de relatórios gerenciais do HEANA, HEELJ e UPA Perfil Pediátrico. Nenhum indicador de produção hospitalar está reportado.",FUNEV,2022,,outro,,0,0
2023,C:\OSS-Goias\documentos\FUNEV\HEANA\2023\34_Relatorio_Producao\1697726181863-ATA EXTRAORDINÁRIA MAIO 2022.pdf,1697726181863-ATA EXTRAORDINÁRIA MAIO 2022,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,HEANA,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"Este documento é uma Ata de Reunião Extraordinária do Conselho de Administração da FUNEV, realizada em 10/05/2022. Não contém dados de produção hospitalar, indicadores de qualidade ou metas assistenciais. O documento trata de eleição de membros do Conselho Fiscal, ratificação da composição dos órgãos diretivos da FUNEV, aprovação de contas e demonstrações contábeis do exercício de 2021 e aprovação de relatórios gerenciais das unidades HEANA, HEELJ e UPA Perfil Pediátrico.",FUNEV,2022,,outro,,0,0
2023,C:\OSS-Goias\documentos\FUNEV\HEANA\2023\34_Relatorio_Producao\1697736548366-CONSOLIDADO 2022.pdf,1697736548366-CONSOLIDADO 2022,-1,24432,-1,1593,-1,9444,4853,-1,-1,-1,HEANA,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"Relatório Gerencial de Produção aprovado pelo Conselho de Administração da FUNEV na 36ª Reunião Ordinária em 09/05/2023. O documento apresenta produção acumulada anual de 2022 com dados mensais de Jan a Jul pelo Meta Contrato nº 66/2019, e de Ago a Dez pelo Meta 4º Termo Aditivo Contrato nº 66/2019. Internações: Jan-Jul totalizaram 3.069 (523+498+546+491+498+511+501) e Ago-Dez 3.401 (513+530+541+571+644+616=3.415, total reportado 6.470). Cirurgias programadas reportadas com forte queda a partir de maio (86, 56, 76) e retomada no segundo semestre. Hospital Dia sem produção de Jan a Jul. SADT Externo sem produção de Jan a Jul, toda produção concentrada em Ago-Dez (4.853). Serviço de Atenção Domiciliar sem produção de Jan a Jul, produção em Ago-Dez (565).",FUNEV,2022,,anual,,0,11
2023,C:\OSS-Goias\documentos\FUNEV\HEANA\2023\34_Relatorio_Producao\1697738280067-Ata 31ª Reunião Ordinária CA_28__04_2021 Contas 2020.pdf,1697738280067-Ata 31ª Reunião Ordinária CA_28__04_2021 Contas 2020,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,HUANA,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"Documento é a Ata da 31ª Reunião Ordinária do Conselho de Administração da FUNEV, realizada em 28/04/2021, referente à prestação de contas do exercício de 2020. Não contém tabelas de produção hospitalar com indicadores quantitativos detalhados. Menciona que o HUANA (Hospital Universitário Evangélico de Goianésia) é unidade proveniente de contrato de gestão e que foram apresentados relatórios gerenciais e de atividades desenvolvidas no gerenciamento do HUANA. As principais contas consolidadas: Ativo R$16.495.429,97; Passivo R$16.495.429,97; Ativo Compensado R$213.358.131,85; Passivo Compensado R$213.358.131,85; Superávit do Exercício R$95.496,15. O Ambulatório Universitário Central (AUC) promoveu atendimentos em especialidades: cardiologia, dermatologia, endocrinologia, gastroenterologia, ginecologia, hebiatra, hematologia, infectologia, nefrologia, neurologia, ortopedia, pediatria, pneumologia, pequenas cirurgias, psicologia, psiquiatria e reumatologia.",FUNEV,2020,,anual,,0,0
