_ano_pasta,_doc_path,_filename,data_assinatura,data_publicacao_doe,fonte_recurso,hospital,indicadores_qualidade_count,metas_fisicas_count,numero_aditivo,numero_contrato,objeto,observacoes,oss_gestora,partes.contratada_oss,partes.contratante,partes.secretaria_supervisora,penalidades_count,recursos_humanos_minimos_count,servicos_especialidades_count,tipo_documento,valor_anual,valor_mensal,valor_total,vigencia.data_fim,vigencia.data_inicio,vigencia.duracao_meses,vigencia.prorrogavel
2022,C:\OSS-Goias\documentos\IMED\HSLMB\2022\05_Contrato_Gestao_Aditivos\2022-06_COMPETENCIAS-PREVISTAS-NO-CONTRATO-DE-GESTAO-HESLMB.pdf,2022-06_COMPETENCIAS-PREVISTAS-NO-CONTRATO-DE-GESTAO-HESLMB,,,,HESLMB,0,0,,,"Documento de informações para o Portal da Transparência contendo as competências (obrigações e responsabilidades do parceiro privado) previstas nos Contratos de Gestão Emergencial nºs 050/2020, 021/2021, 046/2021 (e seu 1º Termo Aditivo) e 024/2022, firmados entre a SES/GO e o IMED para gestão do Hospital Estadual de São Luís de Montes Belos - Dr. Geraldo Landó (HESLMB), bem como as competências do Estatuto Social do IMED.","Documento elaborado pelo IMED para fins de publicação no Portal da Transparência, conforme Art. 6º, §1º, I da Lei Estadual nº 18.025/2013; Item 21, Anexo II da Resolução Normativa nº 013/2017 TCE-GO e Item 3.2.5 da Metodologia de avaliação O.S. CGE-TCE 2021. Consolida as competências extraídas de quatro contratos de gestão emergencial: 050/2020 (03/09/2020), 021/2021 (16/01/2021), 046/2021 (17/07/2021) com seu 1º Termo Aditivo (01/10/2021), e 024/2022 (20/04/2022), além do Estatuto Social do IMED (constituído em 29/08/2013, última alteração em 31/03/2022, registrado em 28/04/2022). Documento assinado digitalmente por André Silva Sader, Diretor Financeiro do IMED.",IMED,"IMED – Instituto de Medicina, Estudos e Desenvolvimento",Estado de Goiás - Secretaria de Estado da Saúde (SES/GO),Secretaria de Estado da Saúde de Goiás (SES/GO),4,0,9,outro,,,,,,,False
2022,C:\OSS-Goias\documentos\Instituto Patris\HEL\2022\05_Contrato_Gestao_Aditivos\id10_1. Competências previstas no Contrato de Gestão - Nº 45_2022-SES_GO (VIGENTE).pdf,id10_1. Competências previstas no Contrato de Gestão - Nº 45_2022-SES_GO (VIGENTE),,2022-06-13,,HEL,0,0,,45/2022,"Gestão do Hospital Estadual de Luziânia pelo Instituto Patris, com execução de atividades e serviços assistenciais de saúde conforme Edital de Chamamento, Proposta de Trabalho e Anexo Técnico.","Documento apresenta as competências previstas no Contrato de Gestão nº 45/2022-SES/GO, conforme exigência das Metodologias de Avaliação da Transparência Ativa e Passiva (Portaria Conjunta nº 01/2021), extraídas especialmente da Cláusula Segunda (obrigações e responsabilidades do Parceiro Privado) e Cláusula Quarta (obrigações mútuas). Versão 02 publicada em 31/10/2022. O documento não contém tabelas de metas físicas, indicadores de qualidade, valores financeiros ou quadro de pessoal mínimo explícitos.",Instituto Patris,Instituto Patris,Estado de Goiás / Secretaria de Estado da Saúde de Goiás (SES/GO),Secretaria de Estado da Saúde de Goiás (SES/GO),2,0,0,contrato_gestao_inicial,,,,2026-06-12,2022-06-13,48,False
2022,C:\OSS-Goias\documentos\Instituto Patris\HEL\2022\05_Contrato_Gestao_Aditivos\id133_1. Contrato nº 45_2022 - SES (VIGENTE).pdf,id133_1. Contrato nº 45_2022 - SES (VIGENTE),2022-05-27,2022-06-13,Receitas Ordinárias - Fundo Estadual de Saúde,HEL,14,17,,45/2022-SES,"Formação de parceria para o fomento, gerenciamento, operacionalização e execução das atividades de saúde no Hospital Estadual de Luziânia, por período de 48 (quarenta e oito) meses.","Hospital Estadual de Luziânia (HEL), CNES 2340194. Capacidade instalada: 62 leitos gerais (31 Enfermaria Adulto Clínica, 23 Enfermaria Adulto Cirúrgica, 08 Enfermaria Obstétrica), 04 leitos Hospital Dia, 10 leitos UTI Adulto, 03 salas Centro Cirúrgico. Parte fixa do repasse: 90% = R$ 4.253.219,46/mês; Parte variável: 10% = R$ 472.579,94/mês. Fundo de provisão de 3% sobre valor repassado para rescisões trabalhistas. Processo SEI nº 202100010000417. Documento SEI/GOVERNADORIA 000030438497.",Instituto Patris,Instituto Patris,Estado de Goiás - Secretaria de Estado da Saúde (SES/GO),Secretaria de Estado da Saúde de Goiás (SES/GO),8,0,26,contrato_gestao_inicial,,4725799.4,226838371.2,,,48,True
2022,C:\OSS-Goias\documentos\Instituto Patris\HEL\2022\05_Contrato_Gestao_Aditivos\id2138_1.1º Apostilamento ao Contrato de Gestão nº 45_2022-SES_GO.pdf,id2138_1.1º Apostilamento ao Contrato de Gestão nº 45_2022-SES_GO,2023-09-21,2023-09-22,Assistência financeira complementar da União / Tesouro Estadual - Dotação Orçamentária 2850.10.302.1043.2149.03.16000232.50,HEL,0,0,1,045/2022-SES/GO,"Repasse de assistência financeira da União para cumprimento do piso salarial nacional de enfermeiros, técnicos e auxiliares de enfermagem e parteiras no contexto das unidades de saúde geridas por organizações sociais de saúde ou fundações, conforme Portaria GM/MS nº 1.135/2023","O valor total de R$ 960.200,16 compreende 04 parcelas mensais estimadas em R$ 240.050,04 cada. As despesas são atendidas com recursos da Nota de Empenho nº 00055 (SEI 51884727). Permanecem inalteradas as cláusulas do contrato original e seus aditivos não modificadas por este instrumento. Processo Administrativo nº 202100010000417. Documento assinado eletronicamente por Sergio Alberto Cunha Vencio, Secretário de Estado, em 21/09/2023.",Instituto Patris,"Instituto Patris, CNPJ nº 37.678.845/0001-40",Estado de Goiás - Secretaria de Estado da Saúde,Secretaria de Estado da Saúde - SES/GO,0,0,0,termo_apostilamento,,240050.04,960200.16,,,,False
2022,C:\OSS-Goias\documentos\Instituto Patris\HEL\2022\05_Contrato_Gestao_Aditivos\id2628_1.2º Aposilamento ao Contrato de Gestão nº 45_2022-SES_GO.pdf,id2628_1.2º Aposilamento ao Contrato de Gestão nº 45_2022-SES_GO,2023-10-26,2023-10-30,Assistência financeira complementar da União / Tesouro Estadual - Dotação Orçamentária 2850.10.302.1043.2149.03.16000232.50,HEL,0,0,2,45/2022-SES/GO,"Repasse de assistência financeira da União para cumprimento do piso salarial nacional de enfermeiros, técnicos e auxiliares de enfermagem e parteiras no contexto das unidades de saúde geridas por organizações sociais de saúde ou fundações, conforme Portaria GM/MS nº 1.135/2023.","Apostila expedida com fundamento no Parecer Jurídico nº 717/2023 - PROCSET e no Despacho nº 333/2023-GEMOD. O repasse corresponde a 1 (uma) parcela estimada. Nota de Empenho nº 00068 (52989934). Processo Administrativo nº 202100010000417. Permanecem inalteradas as cláusulas do contrato original e seus aditivos não modificadas por este instrumento. Documento assinado eletronicamente por Sergio Alberto Cunha Vencio, Secretário de Estado, em 26/10/2023.",Instituto Patris,"Instituto Patris, CNPJ nº 37.678.845/0001-40",Estado de Goiás - Secretaria de Estado da Saúde,Secretaria de Estado da Saúde de Goiás - SES/GO,0,0,0,termo_apostilamento,,,71415.64,,2023-10-26,,False
2022,C:\OSS-Goias\documentos\Instituto Patris\HEL\2022\05_Contrato_Gestao_Aditivos\id2629_1.3º Apostilamento ao Contrato de Gestão nº 45_2022-SES_GO.pdf,id2629_1.3º Apostilamento ao Contrato de Gestão nº 45_2022-SES_GO,2023-11-22,2023-11-23,Assistência financeira da União (Portaria GM/MS nº 1.135/2023) / Tesouro Estadual - Dotação Orçamentária 2850.10.302.1043.2149.03.16000232.50,HEL,0,0,3,45/2022-SES/GO,"Repasse financeiro ao Instituto Patris referente assistência financeira complementar da União para cumprimento do piso salarial nacional de enfermeiros, técnicos e auxiliares de enfermagem e parteiras no contexto das unidades de saúde geridas por organizações sociais de saúde ou fundações, conforme Portaria GM/MS nº 1.135/2023, para o Hospital Estadual de Luziânia","3º Apostilamento ao Contrato de Gestão nº 45/2022-SES/GO. Repasse em 1 (uma) parcela estimada de R$ 213.685,97 para cumprimento do piso salarial nacional de enfermagem. Nota de Empenho nº 00090 (53944405). Processo Administrativo nº 202100010000417. Documento assinado eletronicamente por Sergio Alberto Cunha Vencio em 22/11/2023. Publicado no Diário Oficial do Estado de Goiás nº 24.166 em 23/11/2023 e no DOU Seção 3 nº 222 em 23/11/2023. Retificação publicada no DO/GO nº 24.167 em 24/11/2023 e no DOU Seção 3 nº 223 em 24/11/2023 corrigindo a data de assinatura de __/11/2023 para 22/11/2023.",Instituto Patris,"Instituto Patris, CNPJ nº 37.678.845/0001-40",Estado de Goiás - Secretaria de Estado da Saúde,Secretaria de Estado da Saúde de Goiás,0,0,0,termo_apostilamento,,,213685.97,,,,False
2022,C:\OSS-Goias\documentos\Instituto Patris\HEL\2022\05_Contrato_Gestao_Aditivos\id2848_1.4º Apostilamento ao Contrato de Gestão nº 45_2022-SES_GO.pdf,id2848_1.4º Apostilamento ao Contrato de Gestão nº 45_2022-SES_GO,2023-12-21,2023-12-22,Assistência financeira complementar da União (Portaria GM/MS nº 2.015/2023 e Portaria GM/MS nº 2.031/2023),HEL,0,0,4,45/2022-SES/GO,"Repasse de assistência financeira da União para cumprimento do piso salarial nacional de enfermeiros, técnicos e auxiliares de enfermagem e parteiras no contexto das unidades de saúde geridas por organizações sociais de saúde ou fundações, referente ao Hospital Estadual de Luziânia","Parcela única estimada de R$ 424.785,00. Despesas atendidas com recursos das Notas de Empenho nºs 00130 (54989791) e 00131 (54989849), dotação orçamentária 2850.10.302.1043.2149.03.16000232.50. Processo Administrativo nº 202100010000417. Parecer Jurídico nº 717/2023-SES/PROCSET. Permanecem inalteradas as demais cláusulas do contrato original, aditivos e apostilas.",Instituto Patris,"Instituto Patris, CNPJ nº 37.678.845/0001-40",Estado de Goiás - Secretaria de Estado da Saúde,Secretaria de Estado da Saúde de Goiás,0,0,0,termo_apostilamento,,,424785.0,,2023-12-21,,False
2022,C:\OSS-Goias\documentos\Instituto Patris\HEL\2022\05_Contrato_Gestao_Aditivos\id3416_1.5º Apostilamento ao Contrato de Gestão nº 45_2022-SES_GO.pdf,id3416_1.5º Apostilamento ao Contrato de Gestão nº 45_2022-SES_GO,2024-02-21,2024-02-23,Assistência financeira complementar da União (Portaria GM/MS nº 2.634/2023 e Lei nº 14.434/2022),HEL,0,0,5,45/2022-SES/GO,"Repasse de assistência financeira da União para cumprimento do piso salarial nacional de enfermeiros, técnicos e auxiliares de enfermagem e parteiras no contexto das unidades de saúde geridas por organizações sociais de saúde ou fundações, para o gerenciamento, operacionalização e execução das atividades do Hospital Estadual de Luziânia.","Dotação orçamentária: 2850.10.302.1043.2516.03.26000232.50. Nota de Empenho nº 00017 (56778305). Processo Administrativo nº 202100010000417. Parecer Jurídico nº 717/2023-SES/PROCSET (51650657). Documento assinado eletronicamente por Rasível dos Reis Santos Júnior, Secretário de Estado, em 21/02/2024.",Instituto Patris,"Instituto Patris, CNPJ nº 37.678.845/0001-40",Estado de Goiás - Secretaria de Estado da Saúde,Secretaria de Estado da Saúde - SES/GO,0,0,0,termo_apostilamento,,,330917.85,,,,False
2022,C:\OSS-Goias\documentos\Instituto Patris\HEL\2022\05_Contrato_Gestao_Aditivos\id3417_1.6º Apostilamento ao Contrato de Gestão nº 45_2022-SES_GO.pdf,id3417_1.6º Apostilamento ao Contrato de Gestão nº 45_2022-SES_GO,2024-02-27,2024-03-01,Assistência financeira complementar da União / Tesouro Estadual - Dotação Orçamentária 2850.10.302.1043.2516.03.16000232.50,HEL,0,0,6,45/2022-SES/GO,"Repasse financeiro referente assistência financeira complementar da União para cumprimento do piso salarial nacional de enfermeiros, técnicos e auxiliares de enfermagem e parteiras, conforme Portaria GM/MS nº 3.113/2024, no contexto do Hospital Estadual de Luziânia gerido pelo Instituto Patris","6º Apostilamento ao Contrato de Gestão nº 45/2022-SES/GO. Parcela única estimada em R$ 329.479,16. Nota de Empenho nº 00035 (57078850). Processo Administrativo nº 202100010000417. Fundamento no Parecer Jurídico nº 717/2023-SES/PROCSET e Portaria GM/MS nº 3.11/2024. Publicado no DOU em 01/03/2024, Edição 42, Seção 3, Página 250. Demais cláusulas do contrato original, aditivos e apostilas permanecem inalteradas.",Instituto Patris,Instituto Patris - CNPJ nº 37.678.845/0001-40,Estado de Goiás - Secretaria de Estado da Saúde,Secretaria de Estado da Saúde de Goiás,0,0,0,termo_apostilamento,,,329479.16,,2024-02-27,,False
2022,C:\OSS-Goias\documentos\Instituto Patris\HEL\2022\05_Contrato_Gestao_Aditivos\id3418_1.7º Apostilamento ao Contrato de Gestão nº 45_2022-SES_GO.pdf,id3418_1.7º Apostilamento ao Contrato de Gestão nº 45_2022-SES_GO,2024-03-14,2024-03-18,Assistência financeira da União (Portaria GM/MS nº 3.206/2024),HEL,0,0,7,45/2022-SES/GO,"Repasse de assistência financeira da União para cumprimento do piso salarial nacional de enfermeiros, técnicos e auxiliares de enfermagem e parteiras no contexto das unidades de saúde geridas por organizações sociais de saúde ou fundações","Dotação orçamentária: 2850.10.302.1043.2516.03.16000232.50. Nota de Empenho nº 00057 (57815491). Processo Administrativo nº 202100010000417. O valor corresponde a 1 (uma) parcela estimada. Demais cláusulas do contrato original, aditivos e apostilas permanecem inalteradas. Signatário: Rasível dos Reis Santos Júnior - Secretário de Estado da Saúde.",Instituto Patris,Instituto Patris,Estado de Goiás - Secretaria de Estado da Saúde,Secretaria de Estado da Saúde,0,0,0,termo_apostilamento,,,332884.69,,,,False
